company_financing_stage,company_industry,company_name,company_people,job_edu_require,job_exp_require,job_id,job_name,job_salary,job_tag,job_welfare,record_date
B轮,社交,玩吧,150-500人,本科,5-10年,6986318,大数据开发工程师,30k-60k,数据分析,"七险一金,弹性不打卡,免费午餐,季度旅游",2020-04-23
上市公司,企业服务,有赞,2000人以上,不限,3-5年,7040704,大数据开发工程师,20k-40k,数据分析,发展空间大,2020-04-23
D轮及以上,文娱丨内容,一点资讯,500-2000人,本科,1-3年,6222550,大数据开发工程师,20k-30k,数据分析,弹性管理，移动互联网，钱途无量，前景好,2020-04-23
不需要融资,人工智能,智灵时代,150-500人,本科,5-10年,7041456,大数据开发工程师,18k-35k,数据分析,快速发展 背景强大 大牛团队,2020-04-23
不需要融资,人工智能,智灵时代,150-500人,本科,5-10年,7041443,大数据开发工程师,18k-35k,数据分析,快速发展 背景强大 大牛团队,2020-04-23
B轮,"移动互联网,电商",百果科技,150-500人,本科,3-5年,6227388,大数据开发工程师,20k-30k,数据分析,"弹性工作,工作氛围好,调薪机会",2020-04-23
A轮,"数据服务,移动互联网",驰骛科技ChiefClouds,50-150人,本科,不限,6753852,大数据开发工程师,15k-30k,数据分析,10天年假 员工餐 不打卡 地铁周边,2020-04-23
未融资,"移动互联网,消费生活",懿华软件,少于15人,本科,3-5年,6362036,大数据开发工程师,14k-18k,数据分析,职位高大上，行业老大,2020-04-23
不需要融资,电商,北京孔网时代科技有限公司,50-150人,本科,3-5年,6735836,大数据开发工程师,20k-40k,数据分析,大项目起航、餐饮免费、人性化工作、水果,2020-04-23
B轮,"移动互联网,社交",小鹅（小鹅通）,500-2000人,本科,1-3年,6874312,大数据开发工程师,10k-20k,数据分析,发展前景好,2020-04-23
C轮,移动互联网,小源科技,150-500人,大专,5-10年,6669432,大数据开发工程师,18k-30k,数据分析,成长空间大、精英团队、5天7.5小时,2020-04-23
不需要融资,"数据服务,文娱丨内容",卡拉卡尔,150-500人,本科,3-5年,6967328,大数据开发工程师,10k-15k,数据分析,社保公积金，节日福利，弹性工作,2020-04-23
未融资,"数据服务,金融",CLPS,500-2000人,本科,3-5年,7036268,大数据开发工程师,15k-25k,数据分析,"待遇高,环境好,有前景",2020-04-23
A轮,移动互联网,音娱时光,50-150人,本科,3-5年,7005187,大数据开发工程师,20k-35k,数据分析,团队优秀；海外市场；免费餐饮；租房津贴；,2020-04-23
